,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
1030,0186401,0828,F,86,Spanish,B,RS004,S,저는 지금 음료수하고 꽃을 사러 갔다 와야 돼요,J EO N EU N J I G EU M EU M N iO S U A G O GG O CHh EU L S A R EO G A t DD A oA iA D OE iO,J EO N EU N J I G EU M EU M N iO S U A G O GG O iO L S A R EO G A t DD A oA iA D OE iO,"Counter({'C': 36, 'D': 1, 'S': 1})",36,1,0,1,"deletion of < CHh >, substitution of < EU > to < iO >",0.03902439024390244
1031,0186403,0828,F,86,Spanish,B,RS005,S,여권 사진을 찍어야 되는데 어디에서 찍으면 좋을까요,iEO G uEO N S A J I N EU L JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,iEO G uEO N S A S I N EU L JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,"Counter({'C': 42, 'S': 1})",42,1,0,0,substitution of < J > to < S >,0.004273504273504274
1032,0186415,0828,F,86,Spanish,B,RS009,S,등록금에 수업료가 포함돼요,D EU NG N O k GG EU M E S U EO M N iO G A Ph O A M D OE iO,D EU NG N O k GG EU M E S U EO M N iO G A Ph O A M D OE OE iO,"Counter({'C': 25, 'I': 1})",25,0,1,0,insertion of < OE >,0.03571428571428571
1033,0186418,0828,F,86,Spanish,B,RS010,S,퇴근시간이라서 길이 많이 막히나 봐요,Th OE G EU N S I G A N I R A S EO G I R I M A N I M A Kh I N A B oA iO,Th OE G EU N S I G A N I R A S EO G I R I M A N I M A Kh I N B oA A iO,"Counter({'C': 31, 'D': 1, 'I': 1})",31,0,1,1,"deletion of < A >, insertion of < A >",0.046511627906976744
1034,0194995,0828,F,86,Spanish,B,RS012,S,벽에 잘 붙어 있도록 잘 붙이세요,B iEO G E J A L B U Th EO I t DD O R O k J A L B U Th I S E iO,B iEO G E J A A L B U Th EO I t DD O R O k J A L B U Th I S E iO,"Counter({'C': 28, 'I': 1})",28,0,1,0,insertion of < A >,0.02631578947368421
1035,0195048,0828,F,86,Spanish,B,RS019,S,발 편한 운동화를 신고 오세요,B A L Ph iEO N A N U N D O NG H oA R EU L S I N G O O S E iO,B A L Ph iEO N H A N U N D O NG H oA R EU L S I N G O O S E iO,"Counter({'C': 27, 'I': 1})",27,0,1,0,insertion of < H >,0.027210884353741496
1036,0195051,0828,F,86,Spanish,B,RS020,S,아버지와 어머니 중에서 누구하고 닮았어요,A B EO J I oA EO M EO N I J U NG E S EO N U G U A G O D A L M A SS EO iO,A B EO J I oA EO M EO N I J U NG E S EO N U G U G A G O D A L M A SS EO iO,"Counter({'C': 32, 'I': 1})",32,0,1,0,insertion of < G >,0.022988505747126436
1037,0195101,0828,F,86,Spanish,B,RS052,S,저희 백화점을 찾아주셔서 감사합니다,J EO euI B E Kh oA J EO M EU L CHh A J A J U S iEO S EO G A M S A A M N I D A,J EO euI B E Kh oA J EO M EU L CHh I A J A J U S iEO S EO G A M S A A M N I D A,"Counter({'C': 33, 'I': 1})",33,0,1,0,insertion of < I >,0.02197802197802198
1038,0195122,0828,F,86,Spanish,B,RS054,S,죄송하지만 못하겠습니다,J OE S O NG H A J I M A N M O Th A G E S SS EU M N I D A,J OE S O NG H A J I M A N M O Th A G E S S SS EU M N I D A,"Counter({'C': 26, 'I': 1})",26,0,1,0,insertion of < S >,0.02857142857142857
1039,0195134,0828,F,86,Spanish,B,RS055,S,내일 늦으시면 안 됩니다,N E I R N EU J EU S I M iEO N A N D OE M N I D A,N E I R N EU S I M iEO N A N D OE M N I D A,"Counter({'C': 20, 'D': 2})",20,0,0,2,"deletion of < EU >, deletion of < J >",0.0782608695652174
1040,0195180,0828,F,86,Spanish,B,RS065,S,이번엔 절대로 실수하지 않을 거야,I B EO N E N J EO L D E R O S I L S U A J I A N EU L G EO iA,I B EO N E N J EO L D E R O S I L S U A S I A N EU L L G EO iA,"Counter({'C': 27, 'S': 1, 'I': 1})",27,1,1,0,"substitution of < J > to < S >, insertion of < L >",0.03333333333333333
1041,0195210,0828,F,86,Spanish,B,RS072,S,수업 아직 안 끝났을걸,S U EO M A J I k A N GG EU N N A SS EU L G EO L,S U EO M A J I k A N GG EU N N A N EU N N EU L G EO L,"Counter({'C': 20, 'I': 3, 'S': 1})",20,1,3,0,"insertion of < N >, insertion of < EU >, insertion of < N >, substitution of < SS > to < N >",0.12598425196850394
1042,0186007,0828,F,86,Spanish,B,RW004,W,싱싱하다,S I NG S I NG H A D A,S I NG S I H A D A,"Counter({'C': 9, 'D': 1})",9,0,0,1,deletion of < NG >,0.09615384615384616
1043,0186096,0828,F,86,Spanish,B,RW028,W,찌다,J I D A,S UI D A,"Counter({'S': 2, 'C': 2})",2,2,0,0,"substitution of < J > to < S >, substitution of < I > to < UI >",0.14285714285714285
1044,0186134,0828,F,86,Spanish,B,RW045,W,자리,J A R I,S A R I,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < J > to < S >,0.05
1045,0186164,0828,F,86,Spanish,B,RW056,W,은행,EU N E NG,B A N A NG,"Counter({'S': 2, 'C': 2, 'I': 1})",2,2,1,0,"insertion of < B >, substitution of < EU > to < A >, substitution of < E > to < A >",0.4090909090909091
1046,0186165,0828,F,86,Spanish,B,RW057,W,야구,iA G U,iA k G U,"Counter({'C': 3, 'I': 1})",3,0,1,0,insertion of < k >,0.19047619047619047
1047,0186230,0828,F,86,Spanish,B,RW085,W,시장에,S I J A NG E,S I S A N E,"Counter({'C': 4, 'S': 2})",4,2,0,0,"substitution of < J > to < S >, substitution of < NG > to < N >",0.0967741935483871
1048,0186357,0828,F,86,Spanish,B,RW128,W,궁리,G U NG N I,G iEO M G I,"Counter({'S': 3, 'C': 2})",2,3,0,0,"substitution of < U > to < iEO >, substitution of < NG > to < M >, substitution of < N > to < G >",0.32142857142857145
1049,0186379,0828,F,86,Spanish,B,RW142,W,빛을,B I CHh EU L,B I CHh EU L EU,"Counter({'C': 5, 'I': 1})",5,0,1,0,insertion of < EU >,0.18181818181818182
1050,0186381,0828,F,86,Spanish,B,RW144,W,밖은,B A GG EU N,B A Th I N E,"Counter({'C': 3, 'S': 2, 'I': 1})",3,2,1,0,"substitution of < GG > to < Th >, substitution of < EU > to < I >, insertion of < E >",0.36363636363636365
1051,0186385,0828,F,86,Spanish,B,RW147,W,실내,S I N N E,S I N G E,"Counter({'C': 4, 'S': 1})",4,1,0,0,substitution of < N > to < G >,0.04
1052,0186388,0828,F,86,Spanish,B,RW149,W,넣어요,N EO EO iO,N EO J EO iO,"Counter({'C': 4, 'I': 1})",4,0,1,0,insertion of < J >,0.14285714285714285
1207,0209643,0917,F,98,Spanish,A,RS047,S,얼굴 보니 너 무슨 안 좋은 일 있구나,EO L G U L B O N I N EO M U S EU N A N J O EU N I L I t GG U N A,EO L G U L B O N I N EO M U S EU N A N J O EU N I I t GG U N A,"Counter({'C': 29, 'D': 1})",29,0,0,1,deletion of < L >,0.025806451612903226
1208,0209649,0917,F,98,Spanish,A,RS050,S,국내선 공항과 국제선 공항이 다르다는 것을 왜 미리 말씀해 주시지 않으셨어요,G U NG N E S EO N G O NG H A NG G oA G U k JJ E S EO N G O NG H A NG I D A R EU D A N EU N G EO S EU L OE M I R I M A L SS EU M H E J U S I J I A N EU S iEO SS EO iO,G U NG NG N E S EO N G O NG H A NG G oA G U k JJ E S EO N G O NG H A NG I D A R EU D A N EU N G EO S EU L OE M I R I M A L SS EU M H E J U S I J I A N EU S iEO SS EO iO,"Counter({'C': 72, 'I': 1})",72,0,1,0,insertion of < NG >,0.01288659793814433
1209,0209670,0917,F,98,Spanish,A,RS063,S,그렇게 힘든 일을 누가 하겠어요,G EU R EO Kh E H I M D EU N I R EU L N U G A A G E SS EO iO,G EU R EO Kh E H I M D EU N I R EU N U G A A G E SS EO iO,"Counter({'C': 25, 'D': 1})",25,0,0,1,deletion of < L >,0.028985507246376812
1210,0209358,0917,F,98,Spanish,A,RW046,W,부부,B U B U,M U B U,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < B > to < M >,0.05
1385,0238779,1025,M,0,Spanish,A,RS035,S,왜 항상 언니 용돈은 많고 내 용돈은 조금이지,OE H A NG S A NG EO N N I iO NG D O N EU N M A N Kh O N E iO NG D O N EU N J O G EU M I J I,OE H A NG S A NG EO N N I J iO NG D O N EU N M A N Kh O N E iO NG D O N EU N J O G EU M I J I,"Counter({'C': 40, 'I': 1})",40,0,1,0,insertion of < J >,0.018433179723502304
1386,0238212,1025,M,0,Spanish,A,RW046,W,부부,B U B U,D U B U,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < B > to < D >,0.05
1387,0238666,1025,M,0,Spanish,A,RW140,W,물이,M U R I,BB U R I,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < M > to < BB >,0.14285714285714285
2082,0450818,1918,F,90,Spanish,B,RS007,S,금요일이 좋아요 일요일이 좋아요,G EU M iO I R I J O A iO I R iO I R I J O A iO,G EU M M iO I R I J O A iO I R R iO I R I J O A iO,"Counter({'C': 21, 'I': 2})",21,0,2,0,"insertion of < M >, insertion of < R >",0.06666666666666667
2083,0450826,1918,F,90,Spanish,B,RS008,S,일 년 전 우리가 한국말을 어떻게 했는지 생각 나세요,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,I L N iEO N J EO N E U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,"Counter({'C': 48, 'I': 1})",48,0,1,0,insertion of < E >,0.01556420233463035
2084,0452855,1918,F,90,Spanish,B,RS012,S,벽에 잘 붙어 있도록 잘 붙이세요,B iEO G E J A L B U Th EO I t DD O R O k J A L B U Th I S E iO,B iEO iEO G E J A L B U Th EO I t DD O R O k J A L B U Th I S E iO,"Counter({'C': 28, 'I': 1})",28,0,1,0,insertion of < iEO >,0.03896103896103896
2085,0452887,1918,F,90,Spanish,B,RS023,S,주말에 별일 없으면 우리 집에 와서 밥 같이 먹어요,J U M A R E B iEO R I N EO p SS EU M iEO N U R I J I B E oA S EO B A p G A Th I M EO G EO iO,J U M A R E B iEO R I N N EO p SS EU M iEO N U R I J I B E oA S EO B A p G A Th I M EO G EO iO,"Counter({'C': 40, 'I': 1})",40,0,1,0,insertion of < N >,0.01834862385321101
2086,0452986,1918,F,90,Spanish,B,RS065,S,이번엔 절대로 실수하지 않을 거야,I B EO N E N J EO L D E R O S I L S U A J I A N EU L G EO iA,I B EO N E N N J EO L D E R O S I L S U A J I A N EU L G EO iA,"Counter({'C': 28, 'I': 1})",28,0,1,0,insertion of < N >,0.02666666666666667
2087,0450272,1918,F,90,Spanish,B,RW095,W,무릎,M U R EU p,M U R EU k,"Counter({'C': 4, 'S': 1})",4,1,0,0,substitution of < p > to < k >,0.038461538461538464
2088,0450309,1918,F,90,Spanish,B,RW100,W,급하다,G EU Ph A D A,H EU A D A,"Counter({'C': 4, 'S': 1, 'D': 1})",4,1,0,1,"substitution of < G > to < H >, deletion of < Ph >",0.1875
2409,0240284,1020,F,98,Spanish,A,RP003,P,의사소통 과정 중에서 말하기와 쓰기 같은 표현 기능이 더 중요할까 듣기와 읽기 같은 기능이 더 중요할까 나는 이해 영역이 더 중요하고 특히 듣기가 기본이라고 생각한다 다른 이의 말을 듣고 그 말을 이해해야 의사소통을 계속할 수 있기 때문이다 따라서 진정한 의사소통은 듣기에서부터 시작한다고 주장하고 싶다,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO N G I N EU NG I D EO J U NG iO A L GG A D EU t GG I oA I k GG I G A Th EU N G I N EU NG I D EO J U NG iO A L GG A N A N EU N I E iEO NG iEO G I D EO J U NG iO A G O Th EU Kh I D EU t GG I G A G I B O N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU t GG O G EU M A R EU L I E E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J I N J EO NG H A N euI S A S O Th O NG EU N D EU t GG I E S EO B U Th EO S I J A Kh A N D A G O J U J A NG H A G O S I p DD A,euI S A S O Th O N H oA J EO N J U NG E S EO M A R A G I oA SS EU R I G A Th EU N Ph E iEO N G I R A NG EU L D EO J U NG iO A L GG A D EU G I oA I N J I G A Th EU N G I N NG I D EO J U NG iO A G A N EU N I E EO M NG EU L D EO J U NG iO A G O D EU Kh I D EO GG I A G I B U N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU G O G U M A R EU L I E E iA euI S A S O Th O NG EU L E S O Kh A L S U I GG I D E M U N I D A D A R A S EO S I N J A NG EU N euI S A S O Th O NG EU N EO GG I E S EO Th S I J A Kh A D A J U J A N A G O S I p DD A,"Counter({'C': 211, 'S': 28, 'D': 21, 'I': 1})",211,28,1,21,"substitution of < NG > to < N >, substitution of < G > to < H >, substitution of < NG > to < N >, deletion of < H >, substitution of < G > to < R >, substitution of < iO > to < E >, substitution of < N > to < R >, substitution of < EU > to < A >, insertion of < EU >, substitution of < I > to < L >, deletion of < t >, substitution of < GG > to < G >, substitution of < k > to < N >, substitution of < GG > to < J >, deletion of < EU >, deletion of < A >, deletion of < L >, deletion of < GG >, substitution of < N > to < G >, substitution of < iEO > to < EO >, substitution of < NG > to < M >, substitution of < iEO > to < NG >, substitution of < G > to < EU >, substitution of < I > to < L >, substitution of < Th > to < D >, deletion of < EU >, substitution of < t > to < EO >, deletion of < G >, substitution of < O > to < U >, deletion of < t >, substitution of < GG > to < G >, substitution of < EU > to < U >, deletion of < G >, substitution of < iE > to < E >, deletion of < t >, substitution of < J > to < S >, substitution of < EO > to < A >, deletion of < H >, substitution of < A > to < EU >, deletion of < D >, deletion of < EU >, substitution of < t > to < EO >, deletion of < B >, deletion of < U >, deletion of < EO >, deletion of < N >, deletion of < G >, deletion of < O >, deletion of < NG >, substitution of < H > to < N >",0.11420413990007137
2410,0240286,1020,F,98,Spanish,A,RP004,P,나는 아름다운 색을 사랑한다 예전 우리 유치원 선생님이 주신 색종이 같은 빨간색 보라색 자주색 녹색 이런 색깔을 나는 좋아한다 나는 우리나라 가을 하늘을 사랑한다 나는 오래된 가구의 색을 좋아한다 늙어가는 학자의 희끗희끗한 머리카락을 좋아한다 나는 이른 아침의 새 소리를 좋아하며 봄 시냇물 흐르는 소리를 즐긴다 갈대에 부는 바람 소리를 좋아하며 바다의 파도 소리를 들으면 아직도 가슴이 뛴다,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A iE J EO N U R I iU CHh I uEO N S EO N S E NG N I M I J U S I N S E k JJ O NG I G A Th EU N BB A L G A N S E k B O R A S E k J A J U S E k N O k SS E k I R EO N S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A N EU R EU L S A R A NG H A N D A N A N EU N O R E D OE N G A G U euI S E G EU L J O A A N D A N EU L G EO G A N EU N H A k JJ A euI H euI GG EU Th euI GG EU Th A N M EO R I Kh A R A G EU R J O A A N D A N A N EU N I R EU N A CHh I M euI S E S O R I R EU L J O A A M iEO B O M S I N E N M U L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E E B U N EU N B A R A M S O R I R EU L J O A A M iEO B A D A euI Ph A D O S O R I R EU L D EU R EU M iEO N A J I k DD O G A S EU M I DD UI N D A,N A N EU N A R EU M D A U N S E G EU L S A A NG H A N D A J EO N U R I I J I EO N S EO N S E NG N I M I J U S I J EO NG DD BB A L G A N E k R k A J U SS I R EO N S E k DD A R EU L J O A N D A U R I N A R A G A EU L A N EU L S A A NG A N D A R E D EU N Kh A G S E G EU L J O A A N D A EU G G N A A euI H G G EU Th A N M EO R G A R A G EU L J O A A N D A N I R EU L A CHh I M EU S E S EO R EU L J O A M iEO B EO M S I M EU L EU R S EO R L J EU G I N G EU L D E B O N B A R A M S EO R E R EU L J O A A M iEO N B A D A L Ph S EO R EU L D EU R M iEO DD G,"Counter({'C': 222, 'D': 110, 'S': 25, 'I': 1})",222,25,1,110,"deletion of < R >, deletion of < iE >, substitution of < iU > to < I >, substitution of < CHh > to < J >, substitution of < uEO > to < EO >, deletion of < N >, deletion of < S >, deletion of < E >, deletion of < k >, substitution of < JJ > to < J >, substitution of < O > to < EO >, deletion of < I >, deletion of < G >, deletion of < A >, deletion of < Th >, deletion of < EU >, substitution of < N > to < DD >, deletion of < S >, deletion of < B >, deletion of < O >, deletion of < A >, deletion of < S >, deletion of < E >, deletion of < J >, deletion of < S >, deletion of < E >, deletion of < k >, deletion of < N >, deletion of < O >, deletion of < k >, deletion of < E >, deletion of < k >, substitution of < GG > to < DD >, deletion of < N >, deletion of < A >, deletion of < N >, deletion of < EU >, deletion of < N >, deletion of < A >, deletion of < A >, deletion of < N >, deletion of < N >, deletion of < EU >, deletion of < N >, deletion of < H >, deletion of < EU >, deletion of < R >, deletion of < R >, deletion of < H >, deletion of < A >, deletion of < N >, deletion of < N >, deletion of < EU >, deletion of < N >, deletion of < O >, substitution of < OE > to < EU >, substitution of < G > to < Kh >, deletion of < U >, deletion of < euI >, deletion of < N >, deletion of < L >, deletion of < EO >, deletion of < A >, deletion of < N >, deletion of < EU >, deletion of < H >, deletion of < k >, deletion of < JJ >, deletion of < euI >, deletion of < GG >, deletion of < EU >, deletion of < Th >, substitution of < euI > to < G >, substitution of < GG > to < G >, deletion of < I >, substitution of < Kh > to < G >, substitution of < R > to < L >, deletion of < A >, deletion of < N >, deletion of < N >, deletion of < EU >, substitution of < N > to < L >, substitution of < euI > to < EU >, deletion of < O >, deletion of < R >, substitution of < I > to < EO >, deletion of < A >, substitution of < O > to < EO >, deletion of < N >, deletion of < E >, deletion of < N >, substitution of < U > to < EU >, deletion of < H >, deletion of < EU >, deletion of < N >, deletion of < EU >, deletion of < N >, deletion of < O >, deletion of < R >, substitution of < I > to < EO >, deletion of < EU >, deletion of < L >, deletion of < D >, deletion of < A >, substitution of < A > to < EU >, deletion of < E >, deletion of < U >, deletion of < N >, substitution of < EU > to < O >, substitution of < O > to < EO >, substitution of < I > to < E >, insertion of < N >, substitution of < euI > to < L >, deletion of < A >, deletion of < D >, deletion of < O >, deletion of < O >, deletion of < R >, substitution of < I > to < EO >, deletion of < EU >, deletion of < N >, deletion of < A >, deletion of < J >, deletion of < I >, deletion of < k >, deletion of < O >, deletion of < A >, deletion of < S >, deletion of < EU >, deletion of < M >, deletion of < I >, deletion of < DD >, deletion of < UI >, deletion of < N >, deletion of < D >, deletion of < A >",0.28480340063761955
2411,0240268,1020,F,98,Spanish,A,RS061,S,이게 다 니 책임이야,I G E D A N I CHh E G I M I iA,I G E D A N I CHh E G I M iA,"Counter({'C': 13, 'D': 1})",13,0,0,1,deletion of < I >,0.0547945205479452
2412,0235638,1020,F,98,Spanish,A,RW017,W,풀,Ph U L,Ph U,"Counter({'C': 2, 'D': 1})",2,0,0,1,deletion of < L >,0.3125
2413,0235778,1020,F,98,Spanish,A,RW046,W,부부,B U B U,D U B U,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < B > to < D >,0.05
2533,0261170,1100,F,95,Spanish,B,RP001,P,안녕하세요 여러분 저는 줄리앙이라고 합니다 프랑스에서 왔습니다 저는 한국 음식과 한국 문화에 관심이 있습니다 고향에서는 혼자 한국어를 공부했습니다 아직 한국어를 잘 못하지만 한국 생활이 재미있을 것 같습니다 여러분과 같이 공부하게 되어 정말 기쁩니다,A N N iEO NG H A S E iO iEO R EO B U N J EO N EU N J U L L I A NG I R A G O H A M N I D A Ph EU R A NG S EU E S EO oA S SS EU M N I D A J EO N EU N A N G U G EU M S I k GG oA A N G U G M U N oA E G oA N S I M I I S SS EU M N I D A G O iA NG E S EO N EU N H O N J A H A N G U G EO R EU L G O NG B U E S SS EU M N I D A A J I k H A N G U G EO R EU L J A L M O Th A J I M A N A N G U G S E NG H oA R I J E M I I SS EU L G EO t G A t SS EU M N I D A iEO R EO B U N G oA G A Th I G O NG B U A G E D OE EO J EO NG M A L G I BB EU M N I D A,A N N iEO NG H A S E A J EO R EO B O N J EO N EU N iEO L N iA NG I R A G O H A M N I D A Ph EU R E NG S EU E S EO oA S SS EU M N I D A J EO N EU N A N G U G EU M S I k GG oA A N G U G M U N oA E G oA N S I M I I S SS EU M N I D A G O iA NG E S EO N EU N H O N J A H A N G U G EO R EU L G O NG B U E S SS EU M N I D A A J I k A N G U G EO R EU L J A L M O Th A J I M A N A N G U G S E NG H oA R I J E M I SS EU L G EO t G A t SS EU M N I D A iEO R EO B U N G oA G A Th I G O NG B U A G E D OE EO J EO NG M A L G I BB EU M N I D A,"Counter({'C': 227, 'S': 7, 'D': 4, 'I': 1})",227,7,1,4,"insertion of < A >, substitution of < iO > to < J >, substitution of < iEO > to < EO >, substitution of < U > to < O >, deletion of < J >, deletion of < U >, substitution of < L > to < iEO >, substitution of < I > to < N >, substitution of < A > to < iA >, substitution of < A > to < E >, deletion of < H >, deletion of < I >",0.026273885350318472
